[2016-05-07T13:13:20+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-07T13:13:20+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-07T16:19:32+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-07T16:19:32+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-07T17:24:46+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-07T17:24:46+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-07T19:11:54+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-07T19:24:31+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-07T19:24:46+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-07T19:45:05+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-07T21:59:19+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-07T21:59:19+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-07T21:59:53+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-07T21:59:53+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T03:52:14+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T03:52:14+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T15:32:31+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T15:32:31+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T16:40:26+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T16:40:26+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T17:45:36+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T17:45:36+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T19:46:35+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T19:46:35+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T20:30:37+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T20:30:37+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T21:15:32+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T21:16:07+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-08T21:16:33+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T21:37:47+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T22:20:53+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T22:21:21+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-08T22:21:28+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T22:24:50+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-08T22:46:41+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-08T22:47:12+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-08T22:47:19+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-08T22:50:02+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-09T00:54:01+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-09T00:54:01+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-09T23:40:33+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-09T23:40:33+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-05-10T02:44:27+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-05-10T02:44:49+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-10T02:44:57+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-05-10T02:45:16+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
[2016-05-10T02:45:50+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_LOADED; game type VIEW_LEGENDS (2)
[2016-05-10T03:02:46+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: region1; SC_WORLD_UNLOADED; game type NONE (11)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_UNLOADED; game type NONE (11)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_LOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_MAP_LOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
DFHack 0.42.06-r1-0-gcaa1b9f on Windows; cwd md5: b37b55b32b; save: OldAgeOfMythNoElves; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-05-10T18:34:37+0100] DFHack 0.42.06-r1-0-gcaa1b9f on Linux; cwd md5: f31c13974c; save: OldAgeOfMythNoElves; SC_WORLD_LOADED; game type DWARF_MAIN (0)
